src,dst,score,p_value,t_stat,r_squared,n_obs,valid
binance,coinbase,0.0,1.0,0.0,1.0,29,True
binance,kraken,0.0,1.0,0.0,1.0,29,True
binance,bybit,0.0,1.0,0.0,1.0,29,True
binance,okx,0.0,1.0,0.0,1.0,29,True
coinbase,binance,0.0,1.0,0.0,1.0,29,True
coinbase,kraken,0.0,1.0,0.0,1.0,29,True
coinbase,bybit,0.0,1.0,0.0,1.0,29,True
coinbase,okx,0.0,1.0,0.0,1.0,29,True
kraken,binance,0.0,1.0,0.0,1.0,29,True
kraken,coinbase,0.0,1.0,0.0,1.0,29,True
kraken,bybit,0.0,1.0,0.0,1.0,29,True
kraken,okx,0.0,1.0,0.0,1.0,29,True
bybit,binance,0.0,1.0,0.0,0.0,29,True
bybit,coinbase,0.0,1.0,0.0,0.0,29,True
bybit,kraken,0.0,1.0,0.0,0.0,29,True
bybit,okx,0.0,1.0,0.0,1.0,29,True
okx,binance,0.0,1.0,0.0,0.0,29,True
okx,coinbase,0.0,1.0,0.0,0.0,29,True
okx,kraken,0.0,1.0,0.0,0.0,29,True
okx,bybit,0.0,1.0,0.0,1.0,29,True
